page_slug,page_url,content_type,image_url,local_file,alt,title,kind,source,status,error
home,https://bak.ionutojica.ro/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/01/logo-ionutojicaro-183x38-1.png,../images/pages/home/logo-ionutojicaro-183x38-1.png,Ionuț Ojică,,img,screenshot_desktop-1440,ok,
home,https://bak.ionutojica.ro/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/01/logo-ionutojicaro-183x38-1.png,../images/pages/home/logo-ionutojicaro-183x38-1.png,Ionuț Ojică,,img,screenshot_mobile-390,skipped_existing,
website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/04/Example-A-Roll-Image-1024x793-1.jpg,../images/pages/website-administrare-wordpress/Example-A-Roll-Image-1024x793-1.jpg,,,img,markdown_extract,ok,
website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/04/Example-B-Roll-Image-819x1024-1.jpg,../images/pages/website-administrare-wordpress/Example-B-Roll-Image-819x1024-1.jpg,,,img,markdown_extract,ok,
website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/04/Example-A-Roll-Image-scaled-1-1536x1189.jpg,../images/pages/website-administrare-wordpress/Example-A-Roll-Image-scaled-1-1536x1189.jpg,,,img,markdown_extract,ok,
website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/04/Example-A-Roll-Image-1024x793-1.jpg,../images/pages/website-administrare-wordpress/Example-A-Roll-Image-1024x793-1.jpg,,,img,screenshot_desktop-1440,skipped_existing,
website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/04/Example-B-Roll-Image-819x1024-1.jpg,../images/pages/website-administrare-wordpress/Example-B-Roll-Image-819x1024-1.jpg,,,img,screenshot_desktop-1440,skipped_existing,
website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,https://patterns.startertemplatecloud.com/wp-content/uploads/2023/03/Example-Portrait-Image-scaled-1-150x150.jpg,../images/pages/website-administrare-wordpress/Example-Portrait-Image-scaled-1-150x150.jpg,,,img,screenshot_desktop-1440,ok,
website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/04/Example-A-Roll-Image-scaled-1-1536x1189.jpg,../images/pages/website-administrare-wordpress/Example-A-Roll-Image-scaled-1-1536x1189.jpg,,,img,screenshot_desktop-1440,skipped_existing,
website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,https://bak.ionutojica.ro/wp-content/uploads/2026/04/Example-A-Roll-Image-scaled-1.jpg,../images/pages/website-administrare-wordpress/Example-A-Roll-Image-scaled-1.jpg,,,img,screenshot_desktop-1440,ok,
