saved_at,page_slug,page_url,content_type,viewport,screenshot_file,status,error,source,local_images_injected
20260620-211459,home,https://bak.ionutojica.ro/,page,desktop-1440,screenshots/pages/desktop-1440/home.png,ok,,live_url,True
20260620-211459,home,https://bak.ionutojica.ro/,page,mobile-390,screenshots/pages/mobile-390/home.png,ok,,live_url,True
20260620-211459,website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,desktop-1440,screenshots/pages/desktop-1440/website-administrare-wordpress.png,ok,,live_url,True
20260620-211459,website-administrare-wordpress,https://bak.ionutojica.ro/website/administrare-wordpress/,page,mobile-390,screenshots/pages/mobile-390/website-administrare-wordpress.png,ok,,live_url,True
20260620-211459,home,https://bak.ionutojica.ro/home/,page,desktop-1440,screenshots/pages/desktop-1440/home.png,ok,,live_url,True
20260620-211459,home,https://bak.ionutojica.ro/home/,page,mobile-390,screenshots/pages/mobile-390/home.png,ok,,live_url,True
20260620-211459,website-implementare-wordpress,https://bak.ionutojica.ro/website/implementare-wordpress/,page,desktop-1440,screenshots/pages/desktop-1440/website-implementare-wordpress.png,ok,,live_url,True
20260620-211459,website-implementare-wordpress,https://bak.ionutojica.ro/website/implementare-wordpress/,page,mobile-390,screenshots/pages/mobile-390/website-implementare-wordpress.png,ok,,live_url,True
20260620-211459,cursuri-implementare-learndash,https://bak.ionutojica.ro/cursuri/implementare-learndash/,page,desktop-1440,screenshots/pages/desktop-1440/cursuri-implementare-learndash.png,ok,,live_url,True
20260620-211459,cursuri-implementare-learndash,https://bak.ionutojica.ro/cursuri/implementare-learndash/,page,mobile-390,screenshots/pages/mobile-390/cursuri-implementare-learndash.png,ok,,live_url,True
20260620-211459,cursuri-administrare-learndash,https://bak.ionutojica.ro/cursuri/administrare-learndash/,page,desktop-1440,screenshots/pages/desktop-1440/cursuri-administrare-learndash.png,ok,,live_url,True
20260620-211459,cursuri-administrare-learndash,https://bak.ionutojica.ro/cursuri/administrare-learndash/,page,mobile-390,screenshots/pages/mobile-390/cursuri-administrare-learndash.png,ok,,live_url,True
20260620-211459,magazin-implementare-woocommerce,https://bak.ionutojica.ro/magazin/implementare-woocommerce/,page,desktop-1440,screenshots/pages/desktop-1440/magazin-implementare-woocommerce.png,ok,,live_url,True
20260620-211459,magazin-implementare-woocommerce,https://bak.ionutojica.ro/magazin/implementare-woocommerce/,page,mobile-390,screenshots/pages/mobile-390/magazin-implementare-woocommerce.png,ok,,live_url,True
20260620-211459,email-mautic-ses,https://bak.ionutojica.ro/email/mautic-ses/,page,desktop-1440,screenshots/pages/desktop-1440/email-mautic-ses.png,ok,,live_url,True
20260620-211459,email-mautic-ses,https://bak.ionutojica.ro/email/mautic-ses/,page,mobile-390,screenshots/pages/mobile-390/email-mautic-ses.png,ok,,live_url,True
20260620-211459,magazin-administrare-woocommerce,https://bak.ionutojica.ro/magazin/administrare-woocommerce/,page,desktop-1440,screenshots/pages/desktop-1440/magazin-administrare-woocommerce.png,ok,,live_url,True
20260620-211459,magazin-administrare-woocommerce,https://bak.ionutojica.ro/magazin/administrare-woocommerce/,page,mobile-390,screenshots/pages/mobile-390/magazin-administrare-woocommerce.png,ok,,live_url,True
20260620-211459,website,https://bak.ionutojica.ro/website/,page,desktop-1440,screenshots/pages/desktop-1440/website.png,ok,,live_url,True
20260620-211459,website,https://bak.ionutojica.ro/website/,page,mobile-390,screenshots/pages/mobile-390/website.png,ok,,live_url,True
20260620-211459,magazin,https://bak.ionutojica.ro/magazin/,page,desktop-1440,screenshots/pages/desktop-1440/magazin.png,ok,,live_url,True
20260620-211459,magazin,https://bak.ionutojica.ro/magazin/,page,mobile-390,screenshots/pages/mobile-390/magazin.png,ok,,live_url,True
20260620-211459,email,https://bak.ionutojica.ro/email/,page,desktop-1440,screenshots/pages/desktop-1440/email.png,ok,,live_url,True
20260620-211459,email,https://bak.ionutojica.ro/email/,page,mobile-390,screenshots/pages/mobile-390/email.png,ok,,live_url,True
20260620-211459,cursuri,https://bak.ionutojica.ro/cursuri/,page,desktop-1440,screenshots/pages/desktop-1440/cursuri.png,ok,,live_url,True
20260620-211459,cursuri,https://bak.ionutojica.ro/cursuri/,page,mobile-390,screenshots/pages/mobile-390/cursuri.png,ok,,live_url,True
20260620-211459,styleguide,https://bak.ionutojica.ro/styleguide/,page,desktop-1440,screenshots/pages/desktop-1440/styleguide.png,ok,,live_url,True
20260620-211459,styleguide,https://bak.ionutojica.ro/styleguide/,page,mobile-390,screenshots/pages/mobile-390/styleguide.png,ok,,live_url,True
20260620-211459,servicii-academiaonline,https://bak.ionutojica.ro/servicii/academiaonline/,page,desktop-1440,screenshots/pages/desktop-1440/servicii-academiaonline.png,ok,,live_url,True
20260620-211459,servicii-academiaonline,https://bak.ionutojica.ro/servicii/academiaonline/,page,mobile-390,screenshots/pages/mobile-390/servicii-academiaonline.png,ok,,live_url,True
20260620-211459,servicii-automatizari-email,https://bak.ionutojica.ro/servicii/automatizari-email/,page,desktop-1440,screenshots/pages/desktop-1440/servicii-automatizari-email.png,ok,,live_url,True
20260620-211459,servicii-automatizari-email,https://bak.ionutojica.ro/servicii/automatizari-email/,page,mobile-390,screenshots/pages/mobile-390/servicii-automatizari-email.png,ok,,live_url,True
20260620-211459,servicii-website-uri,https://bak.ionutojica.ro/servicii/website-uri/,page,desktop-1440,screenshots/pages/desktop-1440/servicii-website-uri.png,ok,,live_url,True
20260620-211459,servicii-website-uri,https://bak.ionutojica.ro/servicii/website-uri/,page,mobile-390,screenshots/pages/mobile-390/servicii-website-uri.png,ok,,live_url,True
20260620-211459,servicii-platforma-curs,https://bak.ionutojica.ro/servicii/platforma-curs/,page,desktop-1440,screenshots/pages/desktop-1440/servicii-platforma-curs.png,ok,,live_url,True
20260620-211459,servicii-platforma-curs,https://bak.ionutojica.ro/servicii/platforma-curs/,page,mobile-390,screenshots/pages/mobile-390/servicii-platforma-curs.png,ok,,live_url,True
20260620-211459,faq,https://bak.ionutojica.ro/faq/,page,desktop-1440,screenshots/pages/desktop-1440/faq.png,ok,,live_url,True
20260620-211459,faq,https://bak.ionutojica.ro/faq/,page,mobile-390,screenshots/pages/mobile-390/faq.png,ok,,live_url,True
20260620-211459,lista-de-asteptare-multumesc,https://bak.ionutojica.ro/lista-de-asteptare/multumesc/,page,desktop-1440,screenshots/pages/desktop-1440/lista-de-asteptare-multumesc.png,ok,,live_url,True
20260620-211459,lista-de-asteptare-multumesc,https://bak.ionutojica.ro/lista-de-asteptare/multumesc/,page,mobile-390,screenshots/pages/mobile-390/lista-de-asteptare-multumesc.png,ok,,live_url,True
20260620-211459,lista-de-asteptare-confirmat,https://bak.ionutojica.ro/lista-de-asteptare/confirmat/,page,desktop-1440,screenshots/pages/desktop-1440/lista-de-asteptare-confirmat.png,ok,,live_url,True
20260620-211459,lista-de-asteptare-confirmat,https://bak.ionutojica.ro/lista-de-asteptare/confirmat/,page,mobile-390,screenshots/pages/mobile-390/lista-de-asteptare-confirmat.png,ok,,live_url,True
20260620-211459,lista-de-asteptare-verifica-email,https://bak.ionutojica.ro/lista-de-asteptare/verifica-email/,page,desktop-1440,screenshots/pages/desktop-1440/lista-de-asteptare-verifica-email.png,ok,,live_url,True
20260620-211459,lista-de-asteptare-verifica-email,https://bak.ionutojica.ro/lista-de-asteptare/verifica-email/,page,mobile-390,screenshots/pages/mobile-390/lista-de-asteptare-verifica-email.png,ok,,live_url,True
20260620-211459,impressum,https://bak.ionutojica.ro/impressum/,page,desktop-1440,screenshots/pages/desktop-1440/impressum.png,ok,,live_url,True
20260620-211459,impressum,https://bak.ionutojica.ro/impressum/,page,mobile-390,screenshots/pages/mobile-390/impressum.png,ok,,live_url,True
20260620-211459,termeni-si-conditii,https://bak.ionutojica.ro/termeni-si-conditii/,page,desktop-1440,screenshots/pages/desktop-1440/termeni-si-conditii.png,ok,,live_url,True
20260620-211459,termeni-si-conditii,https://bak.ionutojica.ro/termeni-si-conditii/,page,mobile-390,screenshots/pages/mobile-390/termeni-si-conditii.png,ok,,live_url,True
20260620-211459,lista-de-asteptare,https://bak.ionutojica.ro/lista-de-asteptare/,page,desktop-1440,screenshots/pages/desktop-1440/lista-de-asteptare.png,ok,,live_url,True
20260620-211459,lista-de-asteptare,https://bak.ionutojica.ro/lista-de-asteptare/,page,mobile-390,screenshots/pages/mobile-390/lista-de-asteptare.png,ok,,live_url,True
20260620-211459,contact,https://bak.ionutojica.ro/contact/,page,desktop-1440,screenshots/pages/desktop-1440/contact.png,ok,,live_url,True
20260620-211459,contact,https://bak.ionutojica.ro/contact/,page,mobile-390,screenshots/pages/mobile-390/contact.png,ok,,live_url,True
20260620-211459,despre,https://bak.ionutojica.ro/despre/,page,desktop-1440,screenshots/pages/desktop-1440/despre.png,ok,,live_url,True
20260620-211459,despre,https://bak.ionutojica.ro/despre/,page,mobile-390,screenshots/pages/mobile-390/despre.png,ok,,live_url,True
20260620-211459,resurse,https://bak.ionutojica.ro/resurse/,page,desktop-1440,screenshots/pages/desktop-1440/resurse.png,ok,,live_url,True
20260620-211459,resurse,https://bak.ionutojica.ro/resurse/,page,mobile-390,screenshots/pages/mobile-390/resurse.png,ok,,live_url,True
20260620-211459,portofoliu,https://bak.ionutojica.ro/portofoliu/,page,desktop-1440,screenshots/pages/desktop-1440/portofoliu.png,ok,,live_url,True
20260620-211459,portofoliu,https://bak.ionutojica.ro/portofoliu/,page,mobile-390,screenshots/pages/mobile-390/portofoliu.png,ok,,live_url,True
20260620-211459,servicii,https://bak.ionutojica.ro/servicii/,page,desktop-1440,screenshots/pages/desktop-1440/servicii.png,ok,,live_url,True
20260620-211459,servicii,https://bak.ionutojica.ro/servicii/,page,mobile-390,screenshots/pages/mobile-390/servicii.png,ok,,live_url,True
