site_root,html_file,kind,original_ref,absolute_url,local_file,status,bytes,error
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/7151e5bd3c882af5-general.css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/7151e5bd3c882af5-general.css,../../assets/css/7151e5bd3c882af5-general.css,ok,5668,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/00e22c5ba428f391-style.css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/00e22c5ba428f391-style.css,../../assets/css/00e22c5ba428f391-style.css,ok,161,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/00e22c5ba428f391-style.css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/00e22c5ba428f391-style.css,../../assets/css/00e22c5ba428f391-style.css,skipped_existing,161,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,https://ionutojica.ro/wp-includes/js/jquery/jquery.min.js?ver=3.7.1,../../assets/js/jquery.min-c8a53ae4de.js,ok,87553,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/99b28895640018f0-header.js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/99b28895640018f0-header.js,../../assets/js/99b28895640018f0-header.js,ok,0,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,css,https://ionutojica.ro/wp-content/et-cache/4987/et-core-unified-tb-4691-deferred-4987.min.css?ver=1778355242,https://ionutojica.ro/wp-content/et-cache/4987/et-core-unified-tb-4691-deferred-4987.min.css?ver=1778355242,../../assets/css/et-core-unified-tb-4691-deferred-4987.min-bc39d589e5.css,ok,11014,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/82ec3d3c84390a2e-instantpage.js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/82ec3d3c84390a2e-instantpage.js,../../assets/js/82ec3d3c84390a2e-instantpage.js,ok,2977,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/6a358f5f1ef52298-footer.js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/6a358f5f1ef52298-footer.js,../../assets/js/6a358f5f1ef52298-footer.js,ok,0,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-content/themes/Divi/js/scripts.min.js?ver=4.27.5,https://ionutojica.ro/wp-content/themes/Divi/js/scripts.min.js?ver=4.27.5,../../assets/js/scripts.min-4a1d1f4553.js,ok,274461,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/b6a40b8c22e5dd0e-smoothscroll.js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/b6a40b8c22e5dd0e-smoothscroll.js,../../assets/js/b6a40b8c22e5dd0e-smoothscroll.js,ok,5644,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids.js?ver=4.27.5,https://ionutojica.ro/wp-content/themes/Divi/includes/builder/feature/dynamic-assets/assets/js/jquery.fitvids.js?ver=4.27.5,../../assets/js/jquery.fitvids-4a1d1f4553.js,ok,3349,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-content/plugins/divi-modules-pro/scripts/frontend-bundle.min.js?ver=1.2.9.5,https://ionutojica.ro/wp-content/plugins/divi-modules-pro/scripts/frontend-bundle.min.js?ver=1.2.9.5,../../assets/js/frontend-bundle.min-0b9ad90b74.js,ok,6155,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\4987-2.html,js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/d71b75b2327258b1-common.js,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/d71b75b2327258b1-common.js,../../assets/js/d71b75b2327258b1-common.js,ok,940,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\blog.html,css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/7151e5bd3c882af5-general.css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/7151e5bd3c882af5-general.css,../../assets/css/7151e5bd3c882af5-general.css,skipped_existing,5668,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\blog.html,css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/00e22c5ba428f391-style.css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/00e22c5ba428f391-style.css,../../assets/css/00e22c5ba428f391-style.css,skipped_existing,161,
D:\Documente\export_sites_to_md_src_package_v6\output\sites\ionutojica-ro\src,html\pages\blog.html,css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/00e22c5ba428f391-style.css,https://ionutojica.ro/wp-content/cache/speedycache/ionutojica.ro/assets/00e22c5ba428f391-style.css,../../assets/css/00e22c5ba428f391-style.css,skipped_existing,161,
