saved_at,page_slug,page_url,content_type,viewport,screenshot_file,status,error,source,local_images_injected
20260612-193958,home,https://ionutojica.ro/,post,desktop-1440,screenshots/posts/desktop-1440/home.png,ok,,live_url,True
20260612-193958,home,https://ionutojica.ro/,post,mobile-390,screenshots/posts/mobile-390/home.png,ok,,live_url,True
20260612-193958,website-artbodenleger-artbodenleger-de,https://ionutojica.ro/website-artbodenleger-artbodenleger-de/,post,desktop-1440,screenshots/posts/desktop-1440/website-artbodenleger-artbodenleger-de.png,ok,,live_url,True
20260612-193958,website-artbodenleger-artbodenleger-de,https://ionutojica.ro/website-artbodenleger-artbodenleger-de/,post,mobile-390,screenshots/posts/mobile-390/website-artbodenleger-artbodenleger-de.png,ok,,live_url,True
20260612-193958,marcarea-email-urilor-ca-spam,https://ionutojica.ro/marcarea-email-urilor-ca-spam/,post,desktop-1440,screenshots/posts/desktop-1440/marcarea-email-urilor-ca-spam.png,ok,,live_url,True
20260612-193958,marcarea-email-urilor-ca-spam,https://ionutojica.ro/marcarea-email-urilor-ca-spam/,post,mobile-390,screenshots/posts/mobile-390/marcarea-email-urilor-ca-spam.png,ok,,live_url,True
20260612-193958,phishing,https://ionutojica.ro/phishing/,post,desktop-1440,screenshots/posts/desktop-1440/phishing.png,ok,,live_url,True
20260612-193958,phishing,https://ionutojica.ro/phishing/,post,mobile-390,screenshots/posts/mobile-390/phishing.png,ok,,live_url,True
20260612-193958,newslettere-emailuri-dezabonare,https://ionutojica.ro/newslettere-emailuri-dezabonare/,post,desktop-1440,screenshots/posts/desktop-1440/newslettere-emailuri-dezabonare.png,ok,,live_url,True
20260612-193958,newslettere-emailuri-dezabonare,https://ionutojica.ro/newslettere-emailuri-dezabonare/,post,mobile-390,screenshots/posts/mobile-390/newslettere-emailuri-dezabonare.png,ok,,live_url,True
20260612-193958,programe-open-source-gratuite-de-automatizare,https://ionutojica.ro/programe-open-source-gratuite-de-automatizare/,post,desktop-1440,screenshots/posts/desktop-1440/programe-open-source-gratuite-de-automatizare.png,ok,,live_url,True
20260612-193958,programe-open-source-gratuite-de-automatizare,https://ionutojica.ro/programe-open-source-gratuite-de-automatizare/,post,mobile-390,screenshots/posts/mobile-390/programe-open-source-gratuite-de-automatizare.png,ok,,live_url,True
20260612-193958,o-idee-si-presupunerea-ca-excel-ma-poate-ajuta,https://ionutojica.ro/o-idee-si-presupunerea-ca-excel-ma-poate-ajuta/,post,desktop-1440,screenshots/posts/desktop-1440/o-idee-si-presupunerea-ca-excel-ma-poate-ajuta.png,ok,,live_url,True
20260612-193958,o-idee-si-presupunerea-ca-excel-ma-poate-ajuta,https://ionutojica.ro/o-idee-si-presupunerea-ca-excel-ma-poate-ajuta/,post,mobile-390,screenshots/posts/mobile-390/o-idee-si-presupunerea-ca-excel-ma-poate-ajuta.png,ok,,live_url,True
20260612-193958,documente-excel-deschise-la-fiecare-pornire-a-excel-ului,https://ionutojica.ro/documente-excel-deschise-la-fiecare-pornire-a-excel-ului/,post,desktop-1440,screenshots/posts/desktop-1440/documente-excel-deschise-la-fiecare-pornire-a-excel-ului.png,ok,,live_url,True
20260612-193958,documente-excel-deschise-la-fiecare-pornire-a-excel-ului,https://ionutojica.ro/documente-excel-deschise-la-fiecare-pornire-a-excel-ului/,post,mobile-390,screenshots/posts/mobile-390/documente-excel-deschise-la-fiecare-pornire-a-excel-ului.png,ok,,live_url,True
20260612-193958,documente-imense-si-complexe-in-excel-fara-functii-volatile,https://ionutojica.ro/documente-imense-si-complexe-in-excel-fara-functii-volatile/,post,desktop-1440,screenshots/posts/desktop-1440/documente-imense-si-complexe-in-excel-fara-functii-volatile.png,ok,,live_url,True
